codigo_nacional,codigo_dcp,nombre_del_medicamento,ficha_tecnica,sustancias_activas,codigo_atc,dosis_y_como_tomar,receta,generico,laboratorio,para_que_se_utiliza,efectos_adversos_y_interacciones
600027,2431000140106,AMOXICILINA/ACIDO CLAVULANICO NORMON 500 mg/50 mg POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/66424/66424_ft.pdf,amoxicilina + ácido clavulánico,J01CR02,VÍA INTRAVENOSA  (Amoxicilina/Ácido clavulánico 500 mg/50 mg inyectable),SI,SI,LABORATORIOS NORMON S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66424/66424_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66424/66424_ft.pdf
600028,323568005,AMOXICILINA/ACIDO CLAVULANICO NORMON 1.000 mg/200 mg POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/66425/66425_ft.pdf,amoxicilina + ácido clavulánico,J01CR02,VÍA INTRAVENOSA  (Amoxicilina/Ácido clavulánico 1.000 mg/200 mg inyectable),SI,SI,LABORATORIOS NORMON S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66425/66425_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66425/66425_ft.pdf
600029,2831000140108,AMOXICILINA/ACIDO CLAVULANICO NORMON 2000 mg/200 mg POLVO PARA SOLUCION PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/66426/66426_ft.pdf,amoxicilina + ácido clavulánico,J01CR02,VÍA INTRAVENOSA  (Amoxicilina/Ácido clavulánico 2.000 mg/200 mg inyectable perfusión),SI,SI,LABORATORIOS NORMON S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66426/66426_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66426/66426_ft.pdf
600041,321987003,CITALOPRAM VIR 20 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,https://cima.aemps.es/cima/pdfs/es/ft/66481/66481_ft.pdf,citalopram,N06AB04,VÍA ORAL  (Citalopram 20 mg comprimido),SI,SI,INDUSTRIA QUIMICA Y FARMACEUTICA VIR S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66481/66481_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66481/66481_ft.pdf
600045,321989000,CITALOPRAM RATIO 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,https://cima.aemps.es/cima/pdfs/es/ft/66482/66482_ft.pdf,citalopram,N06AB04,VÍA ORAL  (Citalopram 10 mg comprimido),SI,NO,TEVA PHARMA S.L.U.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66482/66482_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66482/66482_ft.pdf
600071,62951000140107,WILZIN 25 MG CAPSULAS DURAS,https://cima.aemps.es/cima/pdfs/es/ft/04286001/04286001_ft.pdf,zinc acetato,A16AX05,VÍA ORAL  (Zinc acetato 25 mg cápsula),SI,NO,RECORDATI RARE DISEASES,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/04286001/04286001_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/04286001/04286001_ft.pdf
600073,62961000140109,WILZIN 50 mg CAPSULAS DURAS,https://cima.aemps.es/cima/pdfs/es/ft/04286002/04286002_ft.pdf,zinc acetato,A16AX05,VÍA ORAL  (Zinc acetato 50 mg cápsula),SI,NO,RECORDATI RARE DISEASES,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/04286002/04286002_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/04286002/04286002_ft.pdf
600076,346547009,"LIDOCAÍNA/ EPINEFRINA DERMOGEN 20 MG/ML + 0,0125 MG/ML SOLUCIÓN INYECTABLE EFG",https://cima.aemps.es/cima/pdfs/es/ft/66542/66542_ft.pdf,lidocaína + epinefrina,N01BB52,"INFILTRACIÓN  (Lidocaína/Epinefrina (adrenalina) 36 mg/22,5 microgramos inyectable 1,8 ml)",SI,SI,FARMALIDER S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66542/66542_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66542/66542_ft.pdf
600120,174781000140109,SMOFLIPID 200 mg/ml EMULSION PARA PERFUSION,https://cima.aemps.es/cima/pdfs/es/ft/66581/66581_ft.pdf,aceite de soja refinado + triglicéridos de cadena media + aceite de oliva refinado + aceite de pescado con ácidos grasos omega-3,B05BA02,VÍA INTRAVENOSA  (Aceite de soja refinado/Triglicéridos de cadena media/Aceite de oliva refinado/Aceite de pescado con ácidos grasos omega-3 60 mg/ml + 60 mg/ml + 50 mg/ml + 30 mg/ml inyectable perfusión 100 ml),SI,NO,FRESENIUS KABI AB,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66581/66581_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66581/66581_ft.pdf
600121,174801000140108,SMOFLIPID 200 mg/ml EMULSION PARA PERFUSION,https://cima.aemps.es/cima/pdfs/es/ft/66581/66581_ft.pdf,aceite de soja refinado + triglicéridos de cadena media + aceite de oliva refinado + aceite de pescado con ácidos grasos omega-3,B05BA02,VÍA INTRAVENOSA  (Aceite de soja refinado/Triglicéridos de cadena media/Aceite de oliva refinado/Aceite de pescado con ácidos grasos omega-3 60 mg/ml + 60 mg/ml + 50 mg/ml + 30 mg/ml inyectable perfusión 250 ml),SI,NO,FRESENIUS KABI AB,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66581/66581_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66581/66581_ft.pdf
600122,24071000140102,PANTOMICINA 250 mg GRANULADO PARA SUSPENSION ORAL EN SOBRES,https://cima.aemps.es/cima/pdfs/es/ft/41000/41000_ft.pdf,eritromicina,J01FA01,VÍA ORAL  (Eritromicina 250 mg solución/suspensión oral sobre),SI,NO,AMDIPHARM LIMITED,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/41000/41000_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/41000/41000_ft.pdf
600123,174811000140106,SMOFLIPID 200 mg/ml EMULSION PARA PERFUSION,https://cima.aemps.es/cima/pdfs/es/ft/66581/66581_ft.pdf,aceite de soja refinado + triglicéridos de cadena media + aceite de oliva refinado + aceite de pescado con ácidos grasos omega-3,B05BA02,VÍA INTRAVENOSA  (Aceite de soja refinado/Triglicéridos de cadena media/Aceite de oliva refinado/Aceite de pescado con ácidos grasos omega-3 60 mg/ml + 60 mg/ml + 50 mg/ml + 30 mg/ml inyectable perfusión 500 ml),SI,NO,FRESENIUS KABI AB,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66581/66581_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66581/66581_ft.pdf
600136,317295004,OMEPRAZOL VIR 40 mg CAPSULAS DURAS GASTRORRESISTENTES,https://cima.aemps.es/cima/pdfs/es/ft/66602/66602_ft.pdf,omeprazol,A02BC01,VÍA ORAL  (Omeprazol 40 mg cápsula),SI,NO,INDUSTRIA QUIMICA Y FARMACEUTICA VIR S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66602/66602_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66602/66602_ft.pdf
600139,30531000140102,FENITOINA ALTAN 50 MG/ ML SOLUCION INYECTABLE,https://cima.aemps.es/cima/pdfs/es/ft/65372/65372_ft.pdf,fenitoína,N03AB02,VÍA INTRAVENOSA  (Fenitoína 100 mg inyectable 2 ml),SI,NO,ALTAN PHARMACEUTICALS SA,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/65372/65372_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/65372/65372_ft.pdf
600144,323568005,AMOXICILINA/ACIDO CLAVULANICO SANDOZ 1000  mg/200 mg POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/65136/65136_ft.pdf,amoxicilina + ácido clavulánico,J01CR02,VÍA INTRAVENOSA  (Amoxicilina/Ácido clavulánico 1.000 mg/200 mg inyectable),SI,SI,SANDOZ FARMACEUTICA S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/65136/65136_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/65136/65136_ft.pdf
600146,2541000140104,"AMOXICILINA/ACIDO  CLAVULANICO SALA 250/62,5 mg POLVO PARA SUSPENSION ORAL EN SOBRES EFG",https://cima.aemps.es/cima/pdfs/es/ft/66554/66554_ft.pdf,amoxicilina + ácido clavulánico,J01CR02,"VÍA ORAL  (Amoxicilina/Ácido clavulánico 250 mg/62,5 mg solución/suspensión oral sobre)",SI,SI,LABORATORIO RAMON SALA S.L.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66554/66554_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66554/66554_ft.pdf
600155,103261000140101,LOFTON 150 mg COMPRIMIDOS RECUBIERTOS,https://cima.aemps.es/cima/pdfs/es/ft/55404/55404_ft.pdf,buflomedil,C04AX20,VÍA ORAL  (Buflomedil 150 mg comprimido),SI,NO,AMDIPHARM LIMITED,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/55404/55404_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/55404/55404_ft.pdf
600200,407011007,ELECOR 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,https://cima.aemps.es/cima/pdfs/es/ft/66756/66756_ft.pdf,eplerenona,C03DA04,VÍA ORAL  (Eplerenona 25 mg comprimido),SI,NO,ALMIRALL S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66756/66756_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66756/66756_ft.pdf
600201,407012000,ELECOR 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,https://cima.aemps.es/cima/pdfs/es/ft/66757/66757_ft.pdf,eplerenona,C03DA04,VÍA ORAL  (Eplerenona 50 mg comprimido),SI,NO,ALMIRALL S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66757/66757_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66757/66757_ft.pdf
600210,79351000140105,FOSFATO MONOSODICO 1M FRESENIUS KABI 120 MG/ML CONCENTRADO PARA SOLUCION PARA PERFUSION,https://cima.aemps.es/cima/pdfs/es/ft/63545/63545_ft.pdf,dihidrógenofosfato sodio,B05XA09,VÍA INTRAVENOSA  (Dihidrógenofosfato sodio 1 M inyectable 10 ml),SI,NO,"FRESENIUS KABI ESPAÑA, S.A.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/63545/63545_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/63545/63545_ft.pdf
600211,63431000140103,LIDOCAINA CLORHIDRATO 1% FRESENIUS KABI,https://cima.aemps.es/cima/pdfs/es/ft/64746/64746_ft.pdf,lidocaína,N01BB02,INFILTRACIÓN  (Lidocaína 100 mg inyectable),SI,NO,"FRESENIUS KABI ESPAÑA, S.A.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/64746/64746_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/64746/64746_ft.pdf
600212,28791000140106,LIDOCAINA CLORHIDRATO 5% FRESENIUS KABI,https://cima.aemps.es/cima/pdfs/es/ft/64747/64747_ft.pdf,lidocaína,N01BB02,INFILTRACIÓN  (Lidocaína 500 mg inyectable 10 ml),SI,NO,"FRESENIUS KABI ESPAÑA, S.A.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/64747/64747_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/64747/64747_ft.pdf
600214,28761000140102,LIDOCAINA CLORHIDRATO 2% FRESENIUS KABI,https://cima.aemps.es/cima/pdfs/es/ft/64749/64749_ft.pdf,lidocaína,N01BB02,INFILTRACIÓN  (Lidocaína 200 mg inyectable 10 ml),SI,NO,"FRESENIUS KABI ESPAÑA, S.A.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/64749/64749_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/64749/64749_ft.pdf
600215,79331000140102,"FOSFATO DIPOTASICO 1M FRESENIUS KABI 174,2 MG/ML SOLUCION INYECTABLE",https://cima.aemps.es/cima/pdfs/es/ft/63546/63546_ft.pdf,potasio fosfato dibásico,B05XA06,VÍA INTRAVENOSA  (Potasio fosfato dibásico 1 M inyectable 10 ml),SI,NO,"FRESENIUS KABI ESPAÑA, S.A.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/63546/63546_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/63546/63546_ft.pdf
600216,81501000140105,CLORURO POTASICO 1M FRESENIUS  KABI,https://cima.aemps.es/cima/pdfs/es/ft/63783/63783_ft.pdf,potasio cloruro,B05XA01,VÍA INTRAVENOSA  (Potasio cloruro 1 mEq/ml inyectable perfusión 10 ml),SI,NO,"FRESENIUS KABI ESPAÑA, S.A.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/63783/63783_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/63783/63783_ft.pdf
600222,321987003,CITALOPRAM NORMON 20 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,https://cima.aemps.es/cima/pdfs/es/ft/66795/66795_ft.pdf,citalopram,N06AB04,VÍA ORAL  (Citalopram 20 mg comprimido),SI,SI,LABORATORIOS NORMON S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66795/66795_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66795/66795_ft.pdf
600223,79101000140108,ACETATO SODICO 1M FRESENIUS  KABI CONCENTRADO PARA SOLUCION PARA PERFUSION,https://cima.aemps.es/cima/pdfs/es/ft/63782/63782_ft.pdf,sodio acetato,B05BB01,VÍA INTRAVENOSA  (Sodio acetato 1 M inyectable 10 ml),SI,NO,"FRESENIUS KABI ESPAÑA, S.A.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/63782/63782_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/63782/63782_ft.pdf
600224,323989005,CEFTRIAXONA GENERIS 250 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE IV EFG,https://cima.aemps.es/cima/pdfs/es/ft/66809/66809_ft.pdf,ceftriaxona,J01DD04,VÍA INTRAVENOSA  (Ceftriaxona 250 mg inyectable IV),SI,SI,"GENERIS FARMACÉUTICA, S.A.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66809/66809_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66809/66809_ft.pdf
600225,44281000140109,CEFTRIAXONA GENERIS 250 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE IM EFG,https://cima.aemps.es/cima/pdfs/es/ft/66810/66810_ft.pdf,ceftriaxona,J01DD04,VÍA INTRAMUSCULAR  (Ceftriaxona 250 mg inyectable IM),SI,SI,"GENERIS FARMACÉUTICA, S.A.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66810/66810_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66810/66810_ft.pdf
600226,44341000140105,CEFTRIAXONA GENERIS 500 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE IM EFG,https://cima.aemps.es/cima/pdfs/es/ft/66811/66811_ft.pdf,ceftriaxona,J01DD04,VÍA INTRAMUSCULAR  (Ceftriaxona 500 mg inyectable IM),SI,SI,"GENERIS FARMACÉUTICA, S.A.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66811/66811_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66811/66811_ft.pdf
600227,375860009,CEFTRIAXONA GENERIS 500 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE IV EFG,https://cima.aemps.es/cima/pdfs/es/ft/66812/66812_ft.pdf,ceftriaxona,J01DD04,VÍA INTRAVENOSA  (Ceftriaxona 500 mg inyectable IV),SI,SI,"GENERIS FARMACÉUTICA, S.A.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66812/66812_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66812/66812_ft.pdf
600228,323990001,CEFTRIAXONA GENERIS 1 g POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE IV EFG,https://cima.aemps.es/cima/pdfs/es/ft/66813/66813_ft.pdf,ceftriaxona,J01DD04,VÍA INTRAVENOSA  (Ceftriaxona 1.000 mg inyectable IV),SI,SI,"GENERIS FARMACÉUTICA, S.A.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66813/66813_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66813/66813_ft.pdf
600229,44221000140105,"CEFTRIAXONA GENERIS 1 G, POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE IM EFG",https://cima.aemps.es/cima/pdfs/es/ft/66814/66814_ft.pdf,ceftriaxona,J01DD04,VÍA INTRAMUSCULAR  (Ceftriaxona 1.000 mg inyectable IM),SI,SI,"GENERIS FARMACÉUTICA, S.A.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66814/66814_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66814/66814_ft.pdf
600230,323991002,"CEFTRIAXONA GENERIS 2 G, POLVO PARA SOLUCION PARA PERFUSION EFG",https://cima.aemps.es/cima/pdfs/es/ft/66815/66815_ft.pdf,ceftriaxona,J01DD04,VÍA INTRAVENOSA  (Ceftriaxona 2.000 mg inyectable IV),SI,SI,"GENERIS FARMACÉUTICA, S.A.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66815/66815_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66815/66815_ft.pdf
600243,353865002,PROLEUKIN 18 X 10(6) UI  POLVO PARA SOLUCION INYECTABLE O PARA PERFUSION,https://cima.aemps.es/cima/pdfs/es/ft/62287/62287_ft.pdf,aldesleukina,L03AC01,VÍA SUBCUTÁNEA  (Aldesleukina 18 millones UI inyectable),SI,NO,CLINIGEN HEALTHCARE B.V.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/62287/62287_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/62287/62287_ft.pdf
600247,323364006,ARICEPT 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,https://cima.aemps.es/cima/pdfs/es/ft/61869/61869_ft.pdf,donepezilo,N06DA02,VÍA ORAL  (Donepezilo 5 mg comprimido),SI,NO,EISAI GMBH,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/61869/61869_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/61869/61869_ft.pdf
600251,323854009,CEFTAZIDIMA ACCORD 1 g POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE EFG,https://cima.aemps.es/cima/pdfs/es/ft/66863/66863_ft.pdf,ceftazidima,J01DD02,"VÍA INTRAMUSCULAR, VÍA INTRAVENOSA  (Ceftazidima 1.000 mg inyectable)",SI,SI,ACCORD HEALTHCARE S.L.U.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66863/66863_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66863/66863_ft.pdf
600252,376998003,PARAPRES 32 mg COMPRIMIDOS,https://cima.aemps.es/cima/pdfs/es/ft/66729/66729_ft.pdf,candesartán,C09CA06,VÍA ORAL  (Candesartán 32 mg comprimido),SI,NO,ALMIRALL S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66729/66729_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66729/66729_ft.pdf
600254,323365007,ARICEPT 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,https://cima.aemps.es/cima/pdfs/es/ft/61870/61870_ft.pdf,donepezilo,N06DA02,VÍA ORAL  (Donepezilo 10 mg comprimido),SI,NO,EISAI GMBH,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/61870/61870_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/61870/61870_ft.pdf
600256,323855005,CEFTAZIDIMA ACCORD 2 g POLVO  PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/66865/66865_ft.pdf,ceftazidima,J01DD02,VÍA INTRAVENOSA  (Ceftazidima 2.000 mg inyectable perfusión),SI,SI,ACCORD HEALTHCARE S.L.U.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66865/66865_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66865/66865_ft.pdf
600257,36871000140104,CEFTAZIDIMA ACCORD 1 g POLVO PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/66866/66866_ft.pdf,ceftazidima,J01DD02,VÍA INTRAVENOSA  (Ceftazidima 1.000 mg inyectable perfusión),SI,SI,ACCORD HEALTHCARE S.L.U.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66866/66866_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66866/66866_ft.pdf
